licensee,year,total_accepted_t,n_records,n_low_codes,disposal,other,recovery,recovery_rate
Huntstown Inert Waste Recovery Facility - W0277,2023,127398.48,2,1,0.0,0.0,127398.48,1.0
Huntstown Inert Waste Recovery Facility - W0277,2025,726647.22,2,1,0.0,0.0,726647.22,1.0
Indaver Ireland Limited (Duleek) - W0167,2022,2.74,2,1,0.0,0.0,2.74,1.0
Indaver Ireland Limited (Duleek) - W0167,2023,20.64,6,3,0.0,0.0,20.64,1.0
Indaver Ireland Limited (Duleek) - W0167,2024,89.2,2,1,0.0,0.0,89.2,1.0
Indaver Ireland Limited (Duleek) - W0167,2025,340.08,4,2,0.0,0.0,340.08,1.0
"Indaver Ireland Limited (Tolka Quay Road), Dublin Port - W0036",2021,58.103,8,3,58.103,0.0,0.0,0.0
"Indaver Ireland Limited (Tolka Quay Road), Dublin Port - W0036",2022,8.733,9,4,8.733,0.0,0.0,0.0
"Indaver Ireland Limited (Tolka Quay Road), Dublin Port - W0036",2023,8.957999999999998,7,3,8.957999999999998,0.0,0.0,0.0
"Indaver Ireland Limited (Tolka Quay Road), Dublin Port - W0036",2024,14.706000000000001,6,3,14.706000000000001,0.0,0.0,0.0
"Indaver Ireland Limited (Tolka Quay Road), Dublin Port - W0036",2025,22.241,13,5,22.241,0.0,0.0,0.0
Integrated Materials Solutions Limited Partnership - W0129,2021,1170536.0999999999,22,6,934963.27,0.0,235572.83000000002,0.20125208440816136
Integrated Materials Solutions Limited Partnership - W0129,2022,787225.6359999999,156,7,659188.876,0.0,128036.76000000001,0.16264302652867366
Integrated Materials Solutions Limited Partnership - W0129,2023,1053701.04,141,5,934451.02,0.0,119250.02,0.11317253706041706
Integrated Materials Solutions Limited Partnership - W0129,2024,1066397.8,142,6,266630.43,0.0,799767.37,0.749970948927314
Integrated Materials Solutions Limited Partnership - W0129,2025,1032764.09,154,5,0.0,0.0,1032764.09,1.0
Irish Packaging Recycling Unlimited Company - W0263,2021,0.0,1,1,0.0,0.0,0.0,
JFK Environmental Limited - W0196,2021,99.16,2,1,0.0,0.0,99.16,1.0
JFK Environmental Limited - W0196,2022,17.299999999999997,3,2,3.76,0.0,13.54,0.7826589595375724
JFK Environmental Limited - W0196,2025,21.9,1,1,0.0,21.9,0.0,
KMK Metals Recycling Limited - P1076,2025,24.278,1,1,0.0,24.278,0.0,
KMK Metals Recycling Limited - W0113,2021,5.664000000000001,2,2,0.0,0.0,5.664000000000001,1.0
KMK Metals Recycling Limited - W0113,2022,5.73,1,1,0.0,0.0,5.73,1.0
KMK Metals Recycling Limited - W0113,2023,6.164,2,2,0.0,1.963,4.201,1.0
KMK Metals Recycling Limited - W0113,2024,7.952999999999999,2,2,0.0,7.952999999999999,0.0,
KMK Metals Recycling Limited - W0113,2025,1.276,2,2,0.0,1.114,0.162,1.0
Key Waste Management Limited - W0045,2021,24532.52,9,5,0.0,24532.52,0.0,
Key Waste Management Limited - W0045,2022,25214.46,10,6,0.0,25214.46,0.0,
Key Waste Management Limited - W0045,2023,19388.36,14,6,0.0,19388.36,0.0,
Key Waste Management Limited - W0045,2024,21792.84,21,7,0.0,21792.84,0.0,
Key Waste Management Limited - W0045,2025,31004.79,25,8,0.0,31004.79,0.0,
Kiernan Sand & Gravel Ltd - W0262,2021,7671.0,2,2,0.0,0.0,7671.0,1.0
Kiernan Sand & Gravel Ltd - W0262,2022,14582.0,2,2,0.0,0.0,14582.0,1.0
Kiernan Sand & Gravel Ltd - W0262,2023,15152.0,1,1,0.0,0.0,15152.0,1.0
Kiernan Sand & Gravel Ltd - W0262,2024,9056.0,2,2,0.0,0.0,9056.0,1.0
Kiernan Sand & Gravel Ltd - W0262,2025,8022.0,3,2,0.0,0.0,8022.0,1.0
Kildare County Council - P1063,2021,386069.41000000003,6,1,386069.41000000003,0.0,0.0,0.0
Kildare County Council - P1063,2022,50192.22,3,1,50192.22,0.0,0.0,0.0
Kildare County Council - P1063,2023,190.0,1,1,190.0,0.0,0.0,0.0
Kildare Sand & Gravel Limited - W0295,2021,194051.59,2,1,0.0,0.0,194051.59,1.0
Kildare Sand & Gravel Limited - W0295,2022,131053.61,2,1,0.0,0.0,131053.61,1.0
Kildare Sand & Gravel Limited - W0295,2023,105808.15,2,1,0.0,0.0,105808.15,1.0
Kildare Sand & Gravel Limited - W0295,2024,82703.74,2,1,0.0,0.0,82703.74,1.0
Killarney Waste Disposal Unlimited Company - W0217,2021,673.941,8,5,0.0,673.941,0.0,
Killarney Waste Disposal Unlimited Company - W0217,2022,731.0799999999999,3,2,0.0,731.0799999999999,0.0,
Killarney Waste Disposal Unlimited Company - W0217,2023,1114.421,3,2,0.0,1114.421,0.0,
Killarney Waste Disposal Unlimited Company - W0217,2024,3636.57,9,6,0.0,3636.57,0.0,
Killarney Waste Disposal Unlimited Company - W0217,2025,3557.41,14,6,0.0,3557.41,0.0,
Kilmurry South - W0048,2021,49159.33,6,3,0.0,0.0,49159.33,1.0
Kilmurry South - W0048,2022,53165.2,7,4,0.0,0.0,53165.2,1.0
Kilmurry South - W0048,2023,53307.94,8,5,0.0,0.0,53307.94,1.0
Kilmurry South - W0048,2024,49619.07,8,5,0.0,0.0,49619.07,1.0
Kilmurry South - W0048,2025,23836.0,9,6,0.0,0.0,23836.0,1.0
Kilsaran Concrete - W0300,2021,299917.9,2,1,0.0,0.0,299917.9,1.0
Kilsaran Concrete - W0300,2022,249307.87,2,1,0.0,0.0,249307.87,1.0
Kilsaran Concrete - W0300,2023,299987.0,2,1,0.0,0.0,299987.0,1.0
Kilsaran Concrete - W0300,2024,226455.0,2,1,0.0,0.0,226455.0,1.0
Kilsaran Concrete - W0300,2025,233589.7,2,1,0.0,0.0,233589.7,1.0
Kilsaran Concrete Unlimited Company - W0296,2021,399738.82,2,1,0.0,0.0,399738.82,1.0
Kilsaran Concrete Unlimited Company - W0296,2022,275875.35,2,1,0.0,0.0,275875.35,1.0
Kilsaran Concrete Unlimited Company - W0296,2023,398193.58,2,1,0.0,0.0,398193.58,1.0
Kilsaran Concrete Unlimited Company - W0296,2024,290251.09,2,1,0.0,0.0,290251.09,1.0
Kilsaran Concrete Unlimited Company - W0296,2025,343907.15,2,1,0.0,0.0,343907.15,1.0
Kinsale Road Landfill - W0012,2021,401.18,2,1,0.0,401.18,0.0,
Kinsale Road Landfill - W0012,2022,188.92,2,1,0.0,188.92,0.0,
