licensee,year,total_accepted_t,n_records,n_low_codes,recovery_share,disposal_share,other_share,backfill_share,hazardous_share,recovery_rate
Enva Ireland Limited (Portlaoise) - W0184,2024,66834.06999999999,16.0,10.0,0.980509192392443,0.0,0.01949080760755705,0.0,0.7019280735110103,1.0
Enva Ireland Limited (Portlaoise) - W0184,2025,72896.60999999999,22.0,11.0,0.9815202654828532,0.0,0.01847973451714696,0.0,0.9564835731044283,1.0
Enva Ireland Limited (Shannon) - W0041,2021,1.408,3.0,2.0,0.0,0.0,1.0,0.0,1.0,
Enva Ireland Limited (Shannon) - W0041,2022,1.259,9.0,3.0,0.0,0.0,1.0,0.0,1.0,
Enva Ireland Limited (Shannon) - W0041,2023,1.7389999999999999,4.0,2.0,0.0,0.0,1.0,0.0,0.8280621046578494,
Enva Ireland Limited (Shannon) - W0041,2024,0.388,2.0,1.0,0.0,0.0,1.0,0.0,0.0,
Enva Ireland Limited (Shannon) - W0041,2025,0.934,3.0,2.0,0.0,0.0,1.0,0.0,0.04817987152034261,
Enva Ireland Limited - W0192,2021,13830.342,16.0,8.0,0.0006960059266791811,0.9844721844188667,0.014831809654453952,0.0,0.311322308587886,0.0007064843683544617
Enva Ireland Limited - W0192,2022,23559.32,12.0,5.0,0.0002092590108712815,0.0,0.9997907409891287,0.0,0.15477696300232774,1.0
Enva Ireland Limited - W0192,2023,31945.858,11.0,4.0,2.0722561278523183e-05,0.0,0.9999792774387215,0.0,0.09199371010789567,1.0
Enva Ireland Limited - W0192,2024,18508.019999999997,13.0,6.0,0.000445752706124156,0.0,0.9995542472938759,0.0,0.19674335774437246,1.0
Enva Ireland Limited - W0192,2025,44607.15,12.0,4.0,0.0,0.0,1.0,0.0,0.11346118279244471,
GLV Bay Lane Limited - W0301,2025,33.76,1.0,1.0,0.0,0.0,1.0,0.0,0.0,
Galway Corporation Depot - W0166,2022,66.66,2.0,1.0,0.0,0.0,1.0,0.0,0.0,
Galway Corporation Depot - W0166,2024,66.97,2.0,1.0,0.0,0.0,1.0,0.0,0.0,
